Package Name,Functions,Data Safety Labels
com.ddgames.newmusicplayer,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getDeviceId,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getSubscriberId,android.os.Build.getSerial,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getImei,android.os.StrictMode.getThreadPolicy,java.io.File.getFreeSpace","Personal info,Device or other IDs,App info and performance,App activity,Diagnostics,Other app performance data"
com.decor.life,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
com.delete.master.brain.puzzle,"android.net.wifi.WifiInfo.getBSSID,android.os.StrictMode.getVmPolicy,android.location.LocationManager.getLastKnownLocation,android.os.StrictMode.getThreadPolicy,java.io.File.getFreeSpace,android.net.wifi.WifiInfo.getSSID,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus,android.location.LocationManager.requestLocationUpdates,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace","Device or other IDs,App info and performance,Location,Precise location,Approximate location,Other app performance data,App activity,Personal info,Diagnostics"
com.demin.emojipuzzle,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
com.dencreak.dlcalculator,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.dennys.mobile,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy","App info and performance,Diagnostics"
com.deportes,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy",App info and performance
com.derwinstudio.golforbit,"java.io.File.getTotalSpace,java.io.File.getFreeSpace",Other app performance data
com.designkeyboard.keyboard,"java.io.File.getTotalSpace,java.io.File.getFreeSpace",Other app performance data
com.detective.md,"android.os.StrictMode.getThreadPolicy,android.net.wifi.WifiInfo.getSSID,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperatorName","App info and performance,Device or other IDs,Diagnostics,App activity,Other app performance data,Personal info"
com.devdnua.equalizer.free,"android.telephony.TelephonyManager.getNetworkOperatorName,android.app.ActivityManager.getRunningAppProcesses","Personal info,App activity"
com.devgame.masha.and.bear.pizzeria.games,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy",App info and performance
com.dg.grand.cargo.helicopter.robot.transformation.games,"android.telephony.TelephonyManager.getNetworkOperatorName,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getVmPolicy,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningTasks,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy","Personal info,App activity,App info and performance,Other app performance data,Device or other IDs,Diagnostics"
com.dg.puzzlebrothers.mahjong.halloween,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.dg.puzzlebrothers.mahjong.mysterymansion,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.dg.puzzlebrothers.mahjong.solitaire.holiday.fun,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.dg.puzzlebrothers.mahjong.world.gardens.butterfly,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
