Package Name,PIIS,Data Safety Labels
com.fingersoft.hcr2,"BuildNumber,DeviceName,AdvertisingID",Device or other IDs
com.fingersoft.hillclimb,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.finnci.finnci,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fishangler.fishangler,"Longitude,Latitude,DeviceName,BuildNumber","Location,Device or other IDs"
com.fishangler.fishingspots,"Longitude,Latitude,DeviceName,BuildNumber","Location,Device or other IDs"
com.fishbrain.app,"DeviceName,BuildNumber,Longitude,AdvertisingID,Latitude","Device or other IDs,Location"
com.fishrulesapp.fishrules2013,"DeviceName,BuildNumber,Longitude,Latitude","Device or other IDs,Location"
com.fitbit.FitbitMobile,"DeviceName,BuildNumber",Device or other IDs
com.fitbod.fitbod,"DeviceName,BuildNumber",Device or other IDs
com.fiton.android,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.fiverr.fiverr,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.flow.englishgreatagain,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.flowhealth.mp_android.patient,DeviceName,Device or other IDs
com.flybirdgames.cookinghot,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fnf.friday.music.battle.shooter.beat.musicbattle,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fnf.friday.night.funkin.mukbang.battle.rap,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fnfmodgames.musicbattle.funkinrap,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fnfstudio.tap3,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fontkeyboard.fonts,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.foodient.whisk,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.foodtec.marcos,"DeviceName,BuildNumber,Longitude,Latitude","Device or other IDs,Location"
com.foosegames.brasiltuning2,"DeviceName,BuildNumber",Device or other IDs
com.foreo.foreoapp,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.forevernine.texaspoker.android,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.forqan.tech.Fireman,"DeviceName,BuildNumber",Device or other IDs
com.forqan.tech.PrincessColoring,"DeviceName,BuildNumber",Device or other IDs
com.fortunescope,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fourtechnologies.mynetdiary.ad,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fps.shooting.counterattack.commandomissiongames,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.france24.androidapp,"DeviceName,BuildNumber",Device or other IDs
com.free.gun.shooter.snipershooting,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.free.mp3.mediaequalizer.musicplayer,"DeviceName,BuildNumber",Device or other IDs
com.free.puzzlegame.collection.puzzle,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.free.vpn.super.hotspot.open,"DeviceName,BuildNumber",Device or other IDs
com.free.wallpapers.cool3d.livewallpaper,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.freemusic.offline.bus,"DeviceName,BuildNumber",Device or other IDs
com.freetarot.reading16,"DeviceName,BuildNumber",Device or other IDs
com.freetunes.ringthreestudio,"DeviceName,BuildNumber",Device or other IDs
com.frontier.selfserve,"DeviceName,BuildNumber",Device or other IDs
com.frph.stonegrass,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.frs.dog.petsimulator.games,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.ft.news,"DeviceName,BuildNumber",Device or other IDs
com.fundrivegames.boat.racing.stunts,"DeviceName,BuildNumber",Device or other IDs
com.funeducation.strangerthingshoptiles,"DeviceName,BuildNumber",Device or other IDs
com.funrock.mma.manager,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.fusee.MergeMaster,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.futbolx.ligamx,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.futureme.fancy.face,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.fuzzymobilegames.spades,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.ga.action.robot.car.game,"DeviceName,BuildNumber",Device or other IDs
com.ga.light.bike.flying.stunts,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.ga.speed.superhero.miami.crime.city.battle,"DeviceName,BuildNumber",Device or other IDs
com.gabama.monopostolite,"DeviceName,BuildNumber",Device or other IDs
com.game.android.xpoker,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.game.bingocrush.android,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.game.colorbirdsort,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.game.planeblast,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.game.space.shooter2,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gameduell.gin.rummy.card.game,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gameinformer.tablet,"DeviceName,BuildNumber",Device or other IDs
com.gamelord3d.princess.coloringgame,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gamepass,"DeviceName,BuildNumber",Device or other IDs
com.games.commando.missions.combat.fury,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.games2win.drivingacademy,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.games2win.superschooldriver,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.gamesforgirlsfree.collegegirlsteam,"DeviceName,BuildNumber",Device or other IDs
com.gamesorbit.airplane.flight.simulator,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.gamesorbit.army.truck.driver,"DeviceName,BuildNumber",Device or other IDs
com.gamevilusa.mlbpilive.android.google.global.normal,"DeviceName,BuildNumber",Device or other IDs
com.gaminho.idlefivebasketball,"BuildNumber,DeviceName,AdvertisingID",Device or other IDs
com.gamma.find.diff,"DeviceName,BuildNumber",Device or other IDs
com.gamma.scan,"DeviceName,BuildNumber",Device or other IDs
com.garbek.listwizard,"DeviceName,BuildNumber",Device or other IDs
com.gardenaffairs.affairsgp,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.garmin.android.apps.connectmobile,"DeviceName,BuildNumber",Device or other IDs
com.gb.spider.stickman.ropehero.grandcitycrime,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gdv.fourcolors,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.gen.bettermeditation,"DeviceName,BuildNumber",Device or other IDs
com.genify.fall.io,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.geozilla.family,"Longitude,Latitude",Location
com.get.squidvpn,"DeviceName,BuildNumber",Device or other IDs
com.getcubo.app,"DeviceName,BuildNumber",Device or other IDs
com.getepic.Epic,"DeviceName,BuildNumber",Device or other IDs
com.getpaired.app,Email,Emails
com.gf.autotaxi.passengerdriving.rickshawdriver,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gf.car.wash.service.station.gas.station.garage,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.ggs.flying.robot.rope.hero,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gimica.solitaireverse,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.givvy2048,"DeviceName,BuildNumber,AdvertisingID,Email,Surname,Name","Device or other IDs,Emails,Personal info"
com.glassdoor.app,"DeviceName,BuildNumber,Email","Device or other IDs,Emails"
com.glow.android.baby,"DeviceName,BuildNumber",Device or other IDs
com.glow.android.nurture,"DeviceName,BuildNumber",Device or other IDs
com.glu.baseball22,"DeviceName,BuildNumber",Device or other IDs
com.gnostic.proxy.wuhoo,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.gokids.bphone1,"DeviceName,BuildNumber",Device or other IDs
com.gokids.livenumbers,"DeviceName,BuildNumber",Device or other IDs
com.gokids.tablet,"DeviceName,BuildNumber",Device or other IDs
com.gokids.tbdoll,"DeviceName,BuildNumber",Device or other IDs
com.gokids.transport2,"DeviceName,BuildNumber",Device or other IDs
com.gokids.transportbuilding,"DeviceName,BuildNumber",Device or other IDs
com.golflogix.ui,"DeviceName,BuildNumber",Device or other IDs
com.golfnow.android.teetimes,"Longitude,Latitude",Location
com.gonoodle.gonoodle,DeviceName,Device or other IDs
com.google.android.apps.tasks,"Google_Services_Framework_ID,BuildNumber",Device or other IDs
com.google.android.apps.youtube.music,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.googleplay.free.bingo.holiday,"DeviceName,BuildNumber",Device or other IDs
com.gotv.nflgamecenter.us.lite,"Longitude,Latitude,DeviceName,BuildNumber,AdvertisingID","Location,Device or other IDs"
com.govee.home,"DeviceName,BuildNumber",Device or other IDs
com.gp.classic.car.parking.legend.free.game,"DeviceName,BuildNumber",Device or other IDs
com.grability.rappi,"Longitude,AdvertisingID,Latitude,DeviceName,BuildNumber","Location,Device or other IDs"
com.grabtaxi.passenger,"DeviceName,BuildNumber,Longitude,Latitude","Device or other IDs,Location"
com.grammarly.android.keyboard,"DeviceName,BuildNumber",Device or other IDs
com.graph.weather.forecast.channel,"DeviceName,BuildNumber",Device or other IDs
com.greenbuttongames.idlebutton,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gregacucnik.fishingpoints,"DeviceName,BuildNumber,AdvertisingID,Longitude,Latitude","Device or other IDs,Location"
com.grillgames.guitarrockhero,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.grint.thegrint.pro,"DeviceName,BuildNumber,Longitude,Latitude","Device or other IDs,Location"
com.groundspeak.geocaching.intro,"Email,Longitude,Latitude","Emails,Location"
com.grymala.aruler,"DeviceName,BuildNumber",Device or other IDs
com.gs.real.gangster.vegas.war.games,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.gstarmc.android,"DeviceName,BuildNumber,AdvertisingID,MCC+MNC",Device or other IDs
com.gta.real.gangster.crime,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.guardian,"DeviceName,BuildNumber",Device or other IDs
com.guidebook.animematsuri.android,"DeviceName,BuildNumber",Device or other IDs
com.haegin.homerunclash,"DeviceName,BuildNumber",Device or other IDs
com.haffprice.android,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.hair.race.puzzle,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.halcyon.playbook,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hangxun.sudoku,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.happy.game.music.boy.dash.android,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.harpeon.lens,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hatchbaby.rest,"DeviceName,BuildNumber",Device or other IDs
com.hcsc.android.providerfinderil,"DeviceName,BuildNumber",Device or other IDs
com.hcsc.android.providerfindertx,"DeviceName,BuildNumber",Device or other IDs
com.hd.flying.squirrel.simulator,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.hdw.blackwallpapers,"AdvertisingID,DeviceName,BuildNumber",Device or other IDs
com.headway.books,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.health.female.body.workout,"DeviceName,BuildNumber,AdvertisingID,Google_Services_Framework_ID,MCC+MNC",Device or other IDs
com.healthtap.userhtexpress,"Longitude,Latitude,DeviceName,BuildNumber","Location,Device or other IDs"
com.heritagefcu.heritagefcu,"DeviceName,BuildNumber",Device or other IDs
com.hg.cupcakebaking.cakemaker.bakinggames.icecreamcake,"DeviceName,BuildNumber",Device or other IDs
com.HiddenWorldStd.fnf.mr.beast,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
