Package Name,Functions,Data Safety Labels
com.yogaworkout.flexrun3d,"android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,android.net.wifi.WifiInfo.getSSID,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningTasks","Personal info,App info and performance,Other app performance data,Diagnostics,Device or other IDs,App activity"
com.yosmart.yolink,android.os.StrictMode.getThreadPolicy,App info and performance
com.youmusic.magictiles,android.app.ActivityManager.getRunningAppProcesses,App activity
com.youneedabudget.evergreen.app,"java.io.File.getUsableSpace,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.location.LocationManager.getLastKnownLocation,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy","App info and performance,Other app performance data,Device or other IDs,Precise location,Approximate location,Diagnostics"
com.YovoGames.babycare,"android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy","Device or other IDs,App info and performance,App activity,Diagnostics"
com.YovoGames.dentist,"android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Diagnostics,App activity,Device or other IDs"
com.YovoGames.hair,"android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses","Device or other IDs,App info and performance,Diagnostics,App activity"
com.YsoCorp.BasketAttack,"java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getFreeSpace","Other app performance data,Personal info"
com.YsoCorp.Feelingarrow,"android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperatorName","Personal info,Other app performance data"
com.YsoCorp.FuryCars,"android.location.LocationManager.requestLocationUpdates,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.location.LocationManager.getLastKnownLocation,java.io.File.getTotalSpace,java.io.File.getFreeSpace,android.location.LocationManager.requestSingleUpdate","Precise location,Personal info,Other app performance data"
com.YsoCorp.MonsterSummoner,"android.location.LocationManager.getLastKnownLocation,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.location.LocationManager.requestLocationUpdates,java.io.File.getTotalSpace","Precise location,Other app performance data,Personal info"
com.YsoCorp.NinjaHands,"android.location.LocationManager.requestLocationUpdates,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,android.location.LocationManager.getLastKnownLocation","Precise location,Personal info,Other app performance data"
com.YsoCorp.SlimeSlurp,"java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace","Other app performance data,Personal info"
com.YsoCorp.StretchGuy,"android.location.LocationManager.getLastKnownLocation,java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso","Precise location,Other app performance data,Personal info"
com.yy.musicfm.global,"android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy","App info and performance,Diagnostics"
com.yy.solitaire.farm.tripeaks,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy","Personal info,App info and performance"
com.zaful,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,java.io.File.getUsableSpace","App info and performance,Other app performance data"
com.zalivka.animation2,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
com.zariba.spades.offline,"android.telephony.SubscriptionManager.getActiveSubscriptionInfoList,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses","Personal info,App activity"
com.zatg.scaryneighbor.hellgame,"android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy","App info and performance,Personal info"
com.Zeeppo.GuitarBand,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy,android.net.wifi.WifiInfo.getSSID,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.PowerManager.getCurrentThermalStatus","Personal info,App info and performance,Device or other IDs,App activity,Diagnostics"
com.zeptolab.ctr.ads,"java.io.File.getTotalSpace,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy","App info and performance,Other app performance data,Personal info,Diagnostics,Device or other IDs"
com.zero_one.bunniiies,"android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.PowerManager.getCurrentThermalStatus","App info and performance,Personal info,Other app performance data,Device or other IDs,Diagnostics"
com.zhiliao.musically.livewallpaper,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
com.zimad.mpixel,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
com.ztnstudio.notepad,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.SubscriptionManager.getActiveSubscriptionInfoList",Personal info
com.zumobi.msnbc,android.location.LocationManager.requestLocationUpdates,Precise location
com.zyb.galaxy.attack,"android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace","App activity,Device or other IDs,Personal info,Other app performance data"
com.zymbia.carpm_mechanic,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy",App info and performance
com.zype.oftvandroid,"android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy","App activity,App info and performance"
com.zzkko,"android.telephony.TelephonyManager.getCellLocation,android.location.LocationManager.getLastKnownLocation,android.telephony.TelephonyManager.getAllCellInfo","Location,Precise location,Approximate location"
comme.dragondrill.minigame,"android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningTasks,java.io.File.getFreeSpace,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace","App activity,App info and performance,Personal info,Other app performance data,Diagnostics"
cool.fonts.symbol.keyboard.custom.fancy.text.editor,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
cos.mos.jigsaw,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace","Personal info,Other app performance data"
cz.master.lois,"android.net.wifi.WifiInfo.getSSID,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.bluetooth.BluetoothAdapter.getName","Device or other IDs,App info and performance"
cz.masterapp.annie3,"android.os.StrictMode.getThreadPolicy,android.net.wifi.WifiInfo.getSSID,android.bluetooth.BluetoothAdapter.getName,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy","App info and performance,Device or other IDs,Diagnostics"
ddidev94.fishingweather,"android.os.PowerManager.getCurrentThermalStatus,android.location.LocationManager.requestLocationUpdates,android.telephony.TelephonyManager.getNetworkOperator","Diagnostics,Location,Precise location,Approximate location,Device or other IDs"
de.komoot.android,android.location.LocationManager.requestLocationUpdates,Precise location
de.myaudi.mobile.assistant,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy",App info and performance
de.smuttlewerk.fleetbattle,"android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy","Device or other IDs,App info and performance,Diagnostics,App activity,Personal info"
de.softan.multiplication.table,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
de.spielepalast.rummypalace,"android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getLine1Number","App activity,Phone number"
de.swejuppotto.timewarpscan,"android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName","Personal info,App activity"
de.wetteronline.wetterapp,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.SubscriptionManager.getActiveSubscriptionInfoList,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
deezer.android.app,"android.os.StrictMode.getVmPolicy,java.io.File.getFreeSpace,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus","App info and performance,Other app performance data,Diagnostics"
descargar.musica.mp3.gratis.music.downloader.free.download,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.net.wifi.WifiInfo.getSSID,java.io.File.getFreeSpace,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace","Personal info,App info and performance,Device or other IDs,Other app performance data,Diagnostics,App activity"
dev.netlob.spotistats,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy",App info and performance
dinosaur.merge.battle.arcade,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
dj.mixer.music.pro.sound.effects,"java.io.File.getTotalSpace,java.io.File.getFreeSpace",Other app performance data
dk.resound.smart3d,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
dk.tactile.lilysgarden,java.io.File.getFreeSpace,Other app performance data
drawing.lessons.sketch.how.to.draw.portrait,"android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getSubscriberId,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace,android.app.ActivityManager.getRunningAppProcesses,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getCellLocation,android.telephony.TelephonyManager.getNetworkCountryIso,android.net.wifi.WifiInfo.getSSID","App info and performance,Device or other IDs,Diagnostics,Other app performance data,App activity,Personal info,Location,Precise location"
droidhang.twgame.restaurant,"android.telephony.TelephonyManager.getNetworkOperator,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,java.net.NetworkInterface.getHardwareAddress","Device or other IDs,Personal info,App info and performance,Diagnostics"
easynotes.notes.notepad.notebook.privatenotes.note,"java.io.File.getFreeSpace,java.io.File.getTotalSpace",Other app performance data
es.monkimun.lingokids,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses","App info and performance,Diagnostics,App activity"
esselgroup.zeemedia.wionews,"android.os.Build.getSerial,android.app.usage.UsageStatsManager.getAppStandbyBucket,java.io.File.getUsableSpace,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy","Device or other IDs,App info and performance,Other app performance data,App activity,Diagnostics"
evolution.music.tiles.challenge,"android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses","App info and performance,Diagnostics,Personal info,App activity"
fall.race.io,"android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
fall.stars.race,"android.telephony.SubscriptionManager.getActiveSubscriptionInfoList,android.telephony.TelephonyManager.getNetworkOperatorName",Personal info
fineart.smart.tv.remote.control.wifi.tv.controller,"android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getVmPolicy","App info and performance,Device or other IDs,Diagnostics,App activity,Personal info"
