Package Name,Functions,Data Safety Labels
net.filerecover.app,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperatorName,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Diagnostics,Personal info,App activity"
net.greward.app,android.os.PowerManager.getCurrentThermalStatus,Diagnostics
net.magictool.heartratepluse,"android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperator","App info and performance,Diagnostics,Personal info,App activity,Device or other IDs"
net.manta.comic,"android.net.wifi.WifiInfo.getSSID,java.io.File.getTotalSpace,android.app.ActivityManager.getRunningAppProcesses,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.net.wifi.WifiInfo.getBSSID,android.os.StrictMode.getVmPolicy","Device or other IDs,App info and performance,Other app performance data,App activity,Personal info,Diagnostics"
net.mobigame.zombietsunami,"android.os.StrictMode.getVmPolicy,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getDataNetworkType,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkCountryIso","App info and performance,Other app performance data,Device or other IDs,App activity,Personal info,Diagnostics"
net.paniniamerica.direct,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses","Personal info,App info and performance,App activity"
net.skillcap.farkle,"java.io.File.getTotalSpace,android.telephony.TelephonyManager.getCellLocation,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses,java.io.File.getFreeSpace,android.os.StrictMode.getThreadPolicy","App info and performance,Other app performance data,Location,Precise location,Diagnostics,App activity"
net.sumitk.quotesmeditation,"android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.app.ActivityManager.getRunningTasks,android.os.StrictMode.getVmPolicy,android.net.wifi.WifiInfo.getBSSID,android.os.PowerManager.getCurrentThermalStatus","Device or other IDs,App info and performance,App activity,Diagnostics"
net.wordbit.enes,"android.location.LocationManager.getLastKnownLocation,android.location.LocationManager.requestLocationUpdates,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getDataNetworkType,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningTasks","Location,Precise location,Approximate location,App info and performance,Diagnostics,Personal info,Device or other IDs,App activity"
net.wyvernware.whosthealien,"android.os.StrictMode.getVmPolicy,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getFreeSpace,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName","App info and performance,Other app performance data,Personal info,App activity,Diagnostics"
net.zedge.android,"android.location.LocationManager.getLastKnownLocation,android.location.LocationManager.requestSingleUpdate,android.location.LocationManager.requestLocationUpdates",Precise location
network.americasvoice,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy","Personal info,App info and performance"
network.kalock.myanmar2d.lc,"android.telephony.TelephonyManager.getNetworkCountryIso,java.io.File.getTotalSpace,java.io.File.getFreeSpace,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperatorName,android.os.PowerManager.getCurrentThermalStatus","Personal info,App info and performance,Other app performance data,Device or other IDs,Diagnostics"
ninja.creed.sniper.real3d.action.free.android,"java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,android.net.wifi.WifiInfo.getSSID,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkOperator,android.app.ActivityManager.getRunningAppProcesses,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getFreeSpace","App info and performance,Other app performance data,Diagnostics,Device or other IDs,Personal info,App activity"
notepad.note.notas.notes.notizen,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy","App info and performance,Diagnostics"
notizen.basic.notes.notas.note.notepad,"android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy","App info and performance,Diagnostics"
org.alohasafe.alert,android.net.wifi.WifiInfo.getSSID,Device or other IDs
org.blubblub.app.speechblubs,"android.app.ActivityManager.getRunningAppProcesses,android.net.wifi.WifiInfo.getSSID","App activity,Device or other IDs"
org.cocos2dx.BuildHouse,"android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso","Personal info,Other app performance data"
org.contentarcade.apps.logomaker,android.telephony.TelephonyManager.getNetworkCountryIso,Personal info
org.cspan.app,"android.content.ContentProvider.openTypedAssetFile,android.content.ContentProvider.openAssetFile,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName","Files and docs,Personal info"
org.dreamoriented.leeloo,"android.net.wifi.WifiInfo.getSSID,android.net.wifi.WifiInfo.getBSSID",Device or other IDs
org.freevpn,"android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getDataNetworkType,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.Debug.getMemoryInfo,android.telephony.TelephonyManager.getNetworkOperator,java.io.File.getTotalSpace,android.location.LocationManager.getLastKnownLocation,android.location.LocationManager.requestSingleUpdate,android.os.StrictMode.getVmPolicy,java.io.File.getFreeSpace,android.app.ActivityManager.getRunningTasks,android.net.wifi.WifiInfo.getSSID,android.location.LocationManager.requestLocationUpdates","App info and performance,Diagnostics,App activity,Device or other IDs,Personal info,Other app performance data,Location,Precise location,Approximate location"
org.iggymedia.periodtracker,"java.io.File.getTotalSpace,java.io.File.getUsableSpace",Other app performance data
org.inaturalist.android,"android.app.AppOpsManager.startWatchingStarted,java.io.File.getUsableSpace,java.io.File.getFreeSpace,android.location.LocationManager.requestLocationUpdates","Diagnostics,Other app performance data,Precise location,Approximate location"
org.inaturalist.seek,"android.os.StrictMode.getThreadPolicy,android.net.wifi.WifiInfo.getBSSID,android.os.StrictMode.getVmPolicy,android.net.wifi.WifiInfo.getSSID,android.app.AppOpsManager.startWatchingStarted","App info and performance,Device or other IDs,Diagnostics"
org.khankids.android,android.os.StrictMode.getThreadPolicy,App info and performance
org.kqed.android,"android.net.wifi.WifiInfo.getSSID,android.os.StrictMode.getVmPolicy,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningTasks,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getThreadPolicy,android.telephony.TelephonyManager.getNetworkOperatorName","Device or other IDs,App info and performance,App activity,Diagnostics,Personal info"
org.lichess.mobileapp,"android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy","App info and performance,Diagnostics"
org.nativescript.LibreLinkUp,java.io.File.getUsableSpace,Other app performance data
org.ncsasports.rms,"android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy","App info and performance,Diagnostics"
org.plantnet,"android.os.PowerManager.getCurrentThermalStatus,android.location.LocationManager.getLastKnownLocation,android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy,android.net.wifi.WifiInfo.getSSID,android.net.wifi.WifiInfo.getBSSID,android.app.ActivityManager.getRunningAppProcesses","App info and performance,Diagnostics,Precise location,Device or other IDs,App activity"
org.sabgames.domino,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
org.telegram.messenger,"android.os.StrictMode.getVmPolicy,android.os.StrictMode.getThreadPolicy",App info and performance
org.thoughtcrime.securesms,"android.os.StrictMode.getThreadPolicy,android.os.StrictMode.getVmPolicy",App info and performance
org.torproject.torbrowser,"android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningAppProcesses,android.net.wifi.WifiInfo.getSSID","App info and performance,App activity,Device or other IDs"
org.toshi,java.io.File.getUsableSpace,Other app performance data
org.x90live.fcbarcelona2018,"android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningAppProcesses,android.app.usage.UsageStatsManager.getAppStandbyBucket,java.io.File.getTotalSpace,android.app.ActivityManager.getRunningTasks,android.os.StrictMode.getThreadPolicy,java.io.File.getFreeSpace","Device or other IDs,App info and performance,Diagnostics,App activity,Other app performance data"
org.zwanoo.android.speedtest,"android.location.LocationManager.requestLocationUpdates,android.location.LocationManager.getLastKnownLocation",Precise location
paint.by.number.free.relax.color.art.puzzle,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.os.PowerManager.getCurrentThermalStatus,android.os.StrictMode.getThreadPolicy,android.app.ActivityManager.getRunningTasks,android.accounts.AccountManager.getAccountsByType","Personal info,App info and performance,App activity,Diagnostics"
paint.by.number.relax.pixel.art.drawing.book.free,"android.telephony.TelephonyManager.getNetworkOperatorName,android.os.StrictMode.getVmPolicy,android.os.PowerManager.getCurrentThermalStatus,android.app.ActivityManager.getRunningTasks,android.net.wifi.WifiInfo.getSSID,java.io.File.getUsableSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.app.ActivityManager.getRunningAppProcesses,android.os.StrictMode.getThreadPolicy,java.io.File.getFreeSpace,java.io.File.getTotalSpace,android.telephony.TelephonyManager.getNetworkOperator","Personal info,App info and performance,Diagnostics,App activity,Device or other IDs,Other app performance data"
paint.by.number.tap.coloring.book,"android.telephony.TelephonyManager.getNetworkCountryIso,android.location.LocationManager.getLastKnownLocation,android.telephony.TelephonyManager.getNetworkOperatorName","Personal info,Precise location"
pampam.ibf2,"android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkCountryIso",Personal info
pbsoftworks.rummy2,"android.os.StrictMode.getVmPolicy,android.telephony.TelephonyManager.getNetworkCountryIso,android.os.StrictMode.getThreadPolicy,android.os.PowerManager.getCurrentThermalStatus,android.telephony.TelephonyManager.getNetworkOperator,android.telephony.TelephonyManager.getNetworkOperatorName,java.io.File.getTotalSpace,java.io.File.getFreeSpace","App info and performance,Personal info,Diagnostics,Device or other IDs,Other app performance data"
pbsofworks.skido2,"android.os.StrictMode.getThreadPolicy,java.io.File.getTotalSpace,android.os.PowerManager.getCurrentThermalStatus,java.io.File.getFreeSpace,android.telephony.TelephonyManager.getNetworkCountryIso,android.telephony.TelephonyManager.getNetworkOperatorName,android.telephony.TelephonyManager.getNetworkOperator,android.os.StrictMode.getVmPolicy","App info and performance,Other app performance data,Diagnostics,Personal info,Device or other IDs"
pcc.cleancleaner.app,android.telephony.TelephonyManager.getNetworkOperatorName,Personal info
