Package Name,PIIS,Data Safety Labels
com.sunny.magic.music.xylophone,"DeviceName,BuildNumber",Device or other IDs
com.superb.rhv,"DeviceName,BuildNumber",Device or other IDs
com.superswell.findthedifferences,"DeviceName,BuildNumber",Device or other IDs
com.supervpn.vpn.free.proxy,"DeviceName,BuildNumber",Device or other IDs
com.supportpay,"DeviceName,BuildNumber",Device or other IDs
com.survival.squid.impostor,"DeviceName,BuildNumber",Device or other IDs
com.swingbyswing,"Latitude,Longitude",Location
com.symantec.familysafety,"DeviceName,BuildNumber",Device or other IDs
com.symantec.mobilesecurity,"DeviceName,BuildNumber",Device or other IDs
com.symantec.securewifi,"DeviceName,BuildNumber",Device or other IDs
com.synthesia.synthesia,"DeviceName,BuildNumber",Device or other IDs
com.talabat,"DeviceName,BuildNumber,Latitude,Longitude","Device or other IDs,Location"
com.talabatey,"DeviceName,BuildNumber",Device or other IDs
com.talkspace.talkspaceapp,"DeviceName,BuildNumber",Device or other IDs
com.tappaz.dominoes.free.game.reef.adventure.domino.ocean.fishes,"DeviceName,BuildNumber",Device or other IDs
com.tappytaps.android.bibino,DeviceName,Device or other IDs
com.taxsee.taxsee,"DeviceName,BuildNumber",Device or other IDs
com.tbegames.and.bike_mtb_unchained_cycling,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.tdameritrade.mobile3,"DeviceName,BuildNumber",Device or other IDs
com.teamapp.teamapp,"DeviceName,BuildNumber",Device or other IDs
com.techpro.livevideo.wallpaper,"DeviceName,BuildNumber",Device or other IDs
com.TechTreeGames.TheTower,"DeviceName,BuildNumber",Device or other IDs
com.techvision.restaurant,"DeviceName,BuildNumber,AdvertisingID",Device or other IDs
com.telkom.tracencare,"DeviceName,BuildNumber,Google_Services_Framework_ID",Device or other IDs
com.tellmewow.senior.hangman,"DeviceName,BuildNumber,Google_Services_Framework_ID",Device or other IDs
com.tellmewow.senior.party,"DeviceName,BuildNumber",Device or other IDs
com.tellmewow.senior.pastimes,"DeviceName,BuildNumber",Device or other IDs
com.telmate.TelmateGettingout,"DeviceName,BuildNumber",Device or other IDs
com.tencent.ig,"DeviceName,BuildNumber,MCC+MNC,Google_Services_Framework_ID",Device or other IDs
com.tencent.mm,"DeviceName,BuildNumber",Device or other IDs
com.teslamotors.tesla,"DeviceName,BuildNumber",Device or other IDs
com.testlab.family360,"DeviceName,BuildNumber",Device or other IDs
com.tetrox.bowl,"DeviceName,BuildNumber",Device or other IDs
com.tg.speed.car.mega.stunts,"BuildNumber,DeviceName",Device or other IDs
com.tgm.puzzle.brain.out,"DeviceName,BuildNumber",Device or other IDs
com.thadin.radio4mm,"DeviceName,BuildNumber",Device or other IDs
com.theangrykraken.bingo,"DeviceName,BuildNumber",Device or other IDs
com.theathletic,"DeviceName,BuildNumber",Device or other IDs
com.thegosa.miuithemes,"DeviceName,BuildNumber",Device or other IDs
com.thegrizzlylabs.geniusscan.free,"DeviceName,BuildNumber",Device or other IDs
com.thehot.hulovpn,"DeviceName,BuildNumber",Device or other IDs
com.thehub,"DeviceName,BuildNumber,ContactNumber","Device or other IDs,Contacts"
com.thehungrywasp.iamsober,"DeviceName,BuildNumber",Device or other IDs
com.thepattern.app,"DeviceName,BuildNumber",Device or other IDs
