FUNCTIONS,,LABELLER A,LABELLER B,FULL MATCH,PARTIAL MATCH,CONTRADICTION,DISAGREEMENT,FINAL
android.content.ContentProvider.bulkInsert,,none,none,1,,,,
android.content.ContentProvider.delete,,none,none,1,,,,
android.content.ContentProvider.openAssetFile,,Files and docs,Files and docs,1,,,,Files and docs
android.content.ContentProvider.openTypedAssetFile,,Files and docs,Files and docs,1,,,,Files and docs
android.content.ContentProvider.query,,Files and docs,none,0,,1,,
android.content.ContentProvider.update,,none,none,1,,,,
android.content.ContentProviderClient.setDetectNotResponding,,none,none,1,,,,
android.content.ContentResolver.query,,Device or other IDs,none,0,,1,,Device or other IDs
android.content.ContextParams.getRenouncedPermissions,,none,none,1,,,,
android.content.ContextWrapper.stopService,,none,none,1,,,,
android.content.ContextWrapper.unbindService,,none,none,1,,,,
android.content.pm.LauncherApps.hasShortcutHostPermission,,none,none,1,,,,
android.hardware.biometrics.BiometricManager.canAuthenticate,,none,Device or other IDs,0,,1,,
android.hardware.camera2.CameraManager.openCamera,,none,none,1,,,,
android.hardware.fingerprint.FingerprintManager.hasEnrolledFingerprints,,none,none,1,,,,
android.hardware.fingerprint.FingerprintManager.isHardwareDetected,,none,Device or other IDs,0,,1,,
android.location.LocationManager.addGpsStatusListener,,"Location, Precise location","Location, Precise location",1,,,,"Location, Precise location"
android.location.LocationManager.addNmeaListener,,"Location, Precise location","Location, Precise location",1,,,,"Location, Precise location"
android.location.LocationManager.getBestProvider,,none,none,1,,,,
android.location.LocationManager.getCurrentLocation,,"Location, Precise location, Approximate location","Location, Precise location, Approximate location",1,,,,"Location, Precise location, Approximate location"
android.location.LocationManager.getGpsStatus,,"Location, Precise location",none,0,,1,,
android.location.LocationManager.getLastKnownLocation,,"Location, Precise location, Approximate location","Location, Precise location, Approximate location",1,,,,"Location, Precise location, Approximate location"
android.location.LocationManager.getProvider,,"Location, Approximate location",none,0,,1,,
android.location.LocationManager.registerGnssStatusCallback,,"Location, Precise location",Location,0,1,,,"Location, Precise location"
android.location.LocationManager.removeUpdates,,none,none,1,,,,
android.location.LocationManager.requestLocationUpdates,,"Location, Precise location, Approximate location","Location, Precise location, Approximate location",1,,,,"Location, Precise location, Approximate location"
android.location.LocationManager.requestSingleUpdate,,"Location, Precise location, Approximate location","Location, Precise location, Approximate location",1,,,,"Location, Precise location, Approximate location"
android.media.AudioAttributes$Builder.setSystemUsage,,none,none,1,,,,
android.media.AudioManager.requestAudioFocus,,none,none,1,,,,
android.media.AudioManager.setBluetoothScoOn,,none,none,1,,,,
android.media.AudioManager.setMicrophoneMute,,none,none,1,,,,
android.media.AudioManager.setMode,,none,none,1,,,,
android.media.AudioManager.setSpeakerphoneOn,,"Audio files, Voice or sound recordings",none,0,,1,,
android.media.AudioManager.setStreamVolume,,none,none,1,,,,
android.media.browse.MediaBrowser.disconnect,,none,none,1,,,,
android.media.MediaPlayer.pause,,none,none,1,,,,
android.media.MediaPlayer.release,,none,none,1,,,,
android.media.MediaPlayer.reset,,none,none,1,,,,
android.media.MediaPlayer.setWakeMode,,none,none,1,,,,
android.media.MediaPlayer.start,,none,none,1,,,,
android.media.MediaPlayer.stop,,none,none,1,,,,
android.media.MediaScannerConnection.disconnect,,none,none,1,,,,
android.media.Ringtone.play,,none,none,1,,,,
android.media.Ringtone.setAudioAttributes,,none,none,1,,,,
android.media.Ringtone.setStreamType,,none,none,1,,,,
android.media.Ringtone.stop,,none,none,1,,,,
android.media.RingtoneManager.getRingtone,,"Audio files, Music files","Audio files, Music files",1,,,,"Audio files, Music files"
android.net.ConnectivityManager.getActiveNetwork,,none,none,1,,,,
android.net.ConnectivityManager.getActiveNetworkInfo,,none,none,1,,,,
android.net.ConnectivityManager.getAllNetworkInfo,,none,none,1,,,,
android.net.ConnectivityManager.getAllNetworks,,none,none,1,,,,
android.net.ConnectivityManager.getLinkProperties,,none,none,1,,,,
android.net.ConnectivityManager.getNetworkCapabilities,,none,none,1,,,,
android.net.ConnectivityManager.getNetworkInfo,,none,none,1,,,,
android.net.ConnectivityManager.getNetworkPreference,,none,none,1,,,,
android.net.ConnectivityManager.getRestrictBackgroundStatus,,none,none,1,,,,
android.net.ConnectivityManager.getTetheredIfaces,,none,none,1,,,,
android.net.ConnectivityManager.isActiveNetworkMetered,,none,none,1,,,,
android.net.ConnectivityManager.registerDefaultNetworkCallback,,none,none,1,,,,
android.net.ConnectivityManager.registerDefaultNetworkCallbackForUid,,none,none,1,,,,
android.net.ConnectivityManager.registerNetworkCallback,,none,none,1,,,,
android.net.ConnectivityManager.reportNetworkConnectivity,,none,none,1,,,,
android.net.ConnectivityManager.requestNetwork,,none,none,1,,,,
android.net.wifi.p2p.WifiP2pManager.initialize,,none,none,1,,,,
android.net.wifi.rtt.WifiRttManager.startRanging,,"Location, Precise location",none,0,,1,,
android.net.wifi.WifiInfo.getBSSID,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.net.wifi.WifiInfo.getMacAddress,,"Location, Precise location, Device or other IDs","Location, Device or other IDs",0,1,,,Device or other IDs
android.net.wifi.WifiInfo.getSSID,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.net.wifi.WifiManager$MulticastLock.acquire,,none,none,1,,,,
android.net.wifi.WifiManager$MulticastLock.release,,none,none,1,,,,
android.net.wifi.WifiManager$WifiLock.acquire,,none,none,1,,,,
android.net.wifi.WifiManager$WifiLock.release,,none,none,1,,,,
android.os.BatteryManager.getIntProperty,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
android.os.BatteryManager.getLongProperty,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
android.os.BatteryManager.isCharging,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,
android.os.Build.getSerial,,Device or other IDs,Device or other IDs,1,,,,Device or other IDs
android.os.Debug.getMemoryInfo,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
android.os.Debug.getNativeHeapAllocatedSize,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
android.os.Debug.getNativeHeapFreeSize,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
android.os.Debug.getNativeHeapSize,,"App info and performance, Diagnostics","App info and performance, Diagnostics",1,,,,"App info and performance, Diagnostics"
